    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     225       3321.62     0.0046   7.253E+00   0.7054   0.3000   1.760E-17   4.23193716E+01   5.98927909E+01
     226       3328.88     0.0047   7.519E+00   0.7185   0.3000   1.726E-17   4.23253914E+01   5.98840842E+01
     227       3336.39     0.0046   7.882E+00   0.7376   0.3000   2.105E-17   4.23316288E+01   5.98751099E+01
     228       3344.28     0.0047   7.384E+00   0.6949   0.3000   2.076E-17   4.23381630E+01   5.98657608E+01
     229       3351.66     0.0046   7.070E+00   0.6458   0.3000   1.815E-17   4.23442812E+01   5.98569701E+01
     230       3358.73     0.0047   6.920E+00   0.6322   0.3000   1.505E-17   4.23501363E+01   5.98485607E+01
     231       3365.65     0.0045   6.888E+00   0.6283   0.3000   2.449E-17   4.23558635E+01   5.98403314E+01
     232       3372.54     0.0046   6.896E+00   0.6255   0.3000   1.361E-17   4.23615615E+01   5.98321488E+01
     233       3379.43     0.0047   7.141E+00   0.6661   0.3000   1.554E-17   4.23672632E+01   5.98239956E+01
     234       3386.57     0.0047   7.193E+00   0.6652   0.3000   1.403E-17   4.23731646E+01   5.98155900E+01
     235       3393.77     0.0046   6.786E+00   0.6272   0.3000   2.178E-17   4.23791065E+01   5.98071589E+01
     236       3400.55     0.0047   6.937E+00   0.6580   0.3000   1.317E-17   4.23847091E+01   5.97992768E+01
     237       3407.49     0.0047   7.289E+00   0.6851   0.3000   1.645E-17   4.23904337E+01   5.97912875E+01
     238       3414.78     0.0046   6.786E+00   0.6259   0.3000   1.488E-17   4.23964454E+01   5.97830069E+01
     239       3421.56     0.0047   6.813E+00   0.6467   0.3000   1.842E-17   4.24020391E+01   5.97754628E+01
     240       3428.38     0.0047   7.189E+00   0.6787   0.3000   1.642E-17   4.24076530E+01   5.97680320E+01
     241       3435.57     0.0047   6.826E+00   0.6200   0.3000   1.708E-17   4.24135732E+01   5.97603385E+01
     242       3442.39     0.0046   6.682E+00   0.6195   0.3000   1.714E-17   4.24191916E+01   5.97532232E+01
